Graph Name,No of sources of Evidences,Controller,Average-Case Controller to Switch
INTEROUTE.GRAPHML,3,3,0.036585365853658534
INTEROUTE.GRAPHML,3,16,0.07317073170731707
INTEROUTE.GRAPHML,3,56,0.036585365853658534
INTEROUTE.GRAPHML,3,11,0.08536585365853659
INTEROUTE.GRAPHML,3,43,0.04878048780487805
INTEROUTE.GRAPHML,3,2,0.012195121951219513
INTEROUTE.GRAPHML,3,10,0.04878048780487805
INTEROUTE.GRAPHML,3,42,0.024390243902439025
INTEROUTE.GRAPHML,3,50,0.13414634146341464
INTEROUTE.GRAPHML,3,57,0.036585365853658534
INTEROUTE.GRAPHML,3,31,0.024390243902439025
INTEROUTE.GRAPHML,3,37,0.024390243902439025
INTEROUTE.GRAPHML,3,52,0.0975609756097561
INTEROUTE.GRAPHML,3,38,0.04878048780487805
INTEROUTE.GRAPHML,3,45,0.07317073170731707
INTEROUTE.GRAPHML,3,49,0.012195121951219513
INTEROUTE.GRAPHML,3,53,0.10975609756097561
INTEROUTE.GRAPHML,3,40,0.024390243902439025
INTEROUTE.GRAPHML,3,36,0.04878048780487805
INTEROUTE.GRAPHML,3,0,0.012195121951219513
INTEROUTE.GRAPHML,3,1,0.012195121951219513
INTEROUTE.GRAPHML,3,13,0.024390243902439025
INTEROUTE.GRAPHML,3,34,0.024390243902439025
INTEROUTE.GRAPHML,3,30,0.07317073170731707
INTEROUTE.GRAPHML,3,41,0.012195121951219513
INTEROUTE.GRAPHML,3,51,0.07317073170731707
INTEROUTE.GRAPHML,3,63,0.012195121951219513
INTEROUTE.GRAPHML,4,32,0.11764705882352941
INTEROUTE.GRAPHML,4,3,0.07058823529411765
INTEROUTE.GRAPHML,4,56,0.12941176470588237
INTEROUTE.GRAPHML,4,11,0.09411764705882353
INTEROUTE.GRAPHML,4,43,0.047058823529411764
INTEROUTE.GRAPHML,4,2,0.03529411764705882
INTEROUTE.GRAPHML,4,10,0.047058823529411764
INTEROUTE.GRAPHML,4,50,0.12941176470588237
INTEROUTE.GRAPHML,4,42,0.023529411764705882
INTEROUTE.GRAPHML,4,31,0.023529411764705882
INTEROUTE.GRAPHML,4,52,0.10588235294117647
INTEROUTE.GRAPHML,4,37,0.023529411764705882
INTEROUTE.GRAPHML,4,57,0.03529411764705882
INTEROUTE.GRAPHML,4,45,0.07058823529411765
INTEROUTE.GRAPHML,4,53,0.10588235294117647
INTEROUTE.GRAPHML,4,36,0.047058823529411764
INTEROUTE.GRAPHML,4,40,0.023529411764705882
INTEROUTE.GRAPHML,4,1,0.011764705882352941
INTEROUTE.GRAPHML,4,0,0.011764705882352941
INTEROUTE.GRAPHML,4,13,0.023529411764705882
INTEROUTE.GRAPHML,4,34,0.023529411764705882
INTEROUTE.GRAPHML,4,30,0.07058823529411765
INTEROUTE.GRAPHML,4,41,0.011764705882352941
INTEROUTE.GRAPHML,4,51,0.08235294117647059
INTEROUTE.GRAPHML,4,63,0.023529411764705882
ION.GRAPHML,2,74,0.01904761904761905
ION.GRAPHML,2,29,0.047619047619047616
ION.GRAPHML,2,105,0.009523809523809525
ION.GRAPHML,2,110,0.009523809523809525
ION.GRAPHML,2,112,0.02857142857142857
ION.GRAPHML,2,48,0.23809523809523808
ION.GRAPHML,2,67,0.23809523809523808
ION.GRAPHML,2,113,0.02857142857142857
ION.GRAPHML,2,3,0.09523809523809523
ION.GRAPHML,2,64,0.4095238095238095
ION.GRAPHML,2,76,0.047619047619047616
ION.GRAPHML,2,111,0.01904761904761905
ION.GRAPHML,2,117,0.08571428571428572
ION.GRAPHML,2,33,0.02857142857142857
ION.GRAPHML,2,59,0.37142857142857144
ION.GRAPHML,2,100,0.18095238095238095
ION.GRAPHML,2,106,0.009523809523809525
ION.GRAPHML,2,107,0.10476190476190476
ION.GRAPHML,2,121,0.11428571428571428
ION.GRAPHML,2,123,0.06666666666666667
ION.GRAPHML,3,5,0.1
ION.GRAPHML,3,29,0.05
ION.GRAPHML,3,33,0.03
ION.GRAPHML,3,2,0.01
ION.GRAPHML,3,74,0.01
ION.GRAPHML,3,9,0.16
ION.GRAPHML,3,1,0.06
ION.GRAPHML,3,105,0.01
ION.GRAPHML,3,21,0.14
ION.GRAPHML,3,26,0.12
ION.GRAPHML,3,14,0.02
ION.GRAPHML,3,72,0.19
ION.GRAPHML,3,48,0.15
ION.GRAPHML,3,30,0.01
ION.GRAPHML,3,18,0.12
ION.GRAPHML,3,8,0.01
ION.GRAPHML,3,10,0.1
