Graph Name,No of sources of Evidences,Controller,Sorted-Case Controller to Ranks
SINET.GRAPHML,4,70,0.803030303030303
SINET.GRAPHML,4,52,0.36363636363636365
SINET.GRAPHML,4,63,0.2878787878787879
SPRINT,2,4,0.5
SPRINT,2,10,0.375
SPRINT,2,0,0.125
SPRINT,3,1,1.0
SPRINT,3,3,0.25
SPRINT,3,2,0.125
SPRINT,4,10,1.0
SPRINT,4,2,0.125
SPRINT,4,9,0.125
SUNET.GRAPHML,2,22,0.4
SUNET.GRAPHML,2,1,0.2
SUNET.GRAPHML,2,9,0.2
SUNET.GRAPHML,3,2,1.2857142857142858
SUNET.GRAPHML,3,1,0.19047619047619047
SUNET.GRAPHML,3,9,0.19047619047619047
SUNET.GRAPHML,4,2,1.2380952380952381
SUNET.GRAPHML,4,9,0.2857142857142857
SUNET.GRAPHML,4,17,0.23809523809523808
SURFNET.GRAPHML,2,30,1.1956521739130435
SURFNET.GRAPHML,2,8,0.6304347826086957
SURFNET.GRAPHML,2,47,0.32608695652173914
SURFNET.GRAPHML,3,8,0.2564102564102564
SURFNET.GRAPHML,3,14,0.2564102564102564
SURFNET.GRAPHML,3,24,0.23076923076923078
SURFNET.GRAPHML,4,19,0.7857142857142857
SURFNET.GRAPHML,4,8,0.6428571428571429
SURFNET.GRAPHML,4,13,0.19047619047619047
SWITCHL3.GRAPHML,2,7,0.5
SWITCHL3.GRAPHML,2,34,0.20588235294117646
SWITCHL3.GRAPHML,2,31,0.14705882352941177
SWITCHL3.GRAPHML,3,34,0.6666666666666666
SWITCHL3.GRAPHML,3,32,0.6111111111111112
SWITCHL3.GRAPHML,3,12,0.25
SWITCHL3.GRAPHML,4,34,0.5
SWITCHL3.GRAPHML,4,39,0.1875
SWITCHL3.GRAPHML,4,23,0.125
TATANLD.GRAPHML,2,60,0.45161290322580644
TATANLD.GRAPHML,2,119,0.22580645161290322
TATANLD.GRAPHML,2,46,0.1935483870967742
TATANLD.GRAPHML,3,47,0.38524590163934425
TATANLD.GRAPHML,3,32,0.32786885245901637
TATANLD.GRAPHML,3,1,0.14754098360655737
TATANLD.GRAPHML,4,47,0.3790322580645161
TATANLD.GRAPHML,4,32,0.3225806451612903
TATANLD.GRAPHML,4,1,0.14516129032258066
TINET.GRAPHML,2,4,1.0217391304347827
TINET.GRAPHML,2,35,0.5
TINET.GRAPHML,2,34,0.2391304347826087
TINET.GRAPHML,3,18,0.7755102040816326
TINET.GRAPHML,3,12,0.6122448979591837
TINET.GRAPHML,3,23,0.3877551020408163
TINET.GRAPHML,4,46,0.4090909090909091
TINET.GRAPHML,4,38,0.36363636363636365
TINET.GRAPHML,4,40,0.2727272727272727
ULAKNET.GRAPHML,2,76,0.810126582278481
ULAKNET.GRAPHML,2,74,0.13924050632911392
ULAKNET.GRAPHML,2,75,0.10126582278481013
ULAKNET.GRAPHML,3,76,0.9868421052631579
ULAKNET.GRAPHML,3,81,0.19736842105263158
